_Date	_Time	_Notes	_Run Type	Battle Date	Armor Shards	Basic	Black Hole Damage	Boss	Cannon Shards	Cash earned	Cash From Golden Tower	Cells Earned	Chain Lightning Damage	Coins earned	Coins Fetched	Coins From Black Hole	Coins from Blackhole	Coins from Coin Bonuses	Coins from Coin Upgrade	Coins From Death Wave	Coins From Golden Tower	Coins From Orb	Coins from Orbs	Coins From Spotlight	Coins per hour	Coins Stolen	Commander	Commanders	Common Modules	Core Shards	Damage	Damage dealt	Damage Gain From Berserk	Damage Taken	Damage Taken Wall	Damage Taken While Berserked	Death Defy	Death Ray Damage	Death Wave Damage	Destroyed by Death Ray	Destroyed by Land Mine	Destroyed By Orbs	Destroyed by Thorns	Destroyed in Golden Bot	Destroyed in Spotlight	Enemies Hit by Orbs	Fast	Flame Bot Damage	Free Attack Upgrade	Free Defense Upgrade	Free Utility Upgrade	Game Time	Gem Blocks Tapped	Gems	Generator Shards	Golden Bot Coins Earned	Guardian catches	Guardian coins stolen	HP From Death Wave	Inner Land Mine Damage	Interest earned	Killed By	Land Mine Damage	Land Mines Spawned	Lifesteal	Medals	Orb Damage	Orb Hits	Overcharge	Overcharges	Projectiles Count	Projectiles Damage	Protector	Ranged	Rare Modules	Rays	Real Time	Recovery Packages	Rend Armor Damage	Reroll Shards	Reroll Shards Earned	Saboteur	Saboteurs	Scatters	Smart Missile Damage	Summoned enemies	Swamp Damage	Tagged by Deathwave	Tank	Thorn damage	Thunder Bot Stuns	Tier	Total Elites	Total Enemies	Vampires	Wave	Waves Skipped
2025-10-30	12:37:00		farm	Oct 30, 2025 12:37	33	588860	28.13D	752	30	$3.04B	$1.44B	185.42K	0	11.51T	28.77B	192.07B		10.11T	576.78B	21.68B	548.08B	0		0	903.21B		0		2	42	0	250.06D	x8.00	8.00q	205.78q	181.55Q	0	0	443.09Q	0	50120	1398525	82304	96714	0	1.40M	335474	0	967	677	668	2d 14h 47m 50s	8	2	36	10.19B		0	0.00	6.17s	$20.35M	Scatter	418.65s	490129	1.31T	4	216.25D		0		26.78M	506.89s	1477	288508	1	3224	12h 44m 28s	6008	448.75s	700	19.70K	0		3283	2.26s	90.20K	21.81S	305202	318261	5.69D	0	11	9736	1632238	3229	9742	2257
2025-10-29	23:48:00		farm	Oct 29, 2025 23:48	39	592478	31.35D	755	33	$28.93B	$19.03B	191.76K	0	11.00T	25.92B	186.60B		9.65T	552.69B	21.21B	531.86B	0		0	870.00B		0		3	24	0	278.21D	x8.00	1.94q	214.40q	189.28Q	0	0	178.71Q	0	53731	1404160	81059	96360	0	1.41M	338906	0	967	1100	701	2d 13h 59m 24s	10	18	33	9.74B		0	0.00	2.55s	$20.45M	Ray	408.56s	493625	1.31T	6	240.56D		0		27.84M	504.95s	1472	291574	1	3203	12h 38m 31s	5999	448.30s	600	17.10K	0		3269	1.01s	89.76K	10.08S	311916	319974	6.31D	0	11	9806	1643257	3334	9765	2244
2025-10-29	10:26:00		farm	Oct 29, 2025 10:26	42	595060	41.96D	751	24	$32.45B	$21.46B	194.61K	478.50M	11.82T	24.01B	201.64B		10.36T	609.82B	23.04B	574.62B	0		0	871.68B		0		5	33	0	362.13D	x8.00	13.55q	236.40q	208.61Q	2	0	108.26Q	0	38123	1426231	85746	97115	0	1.43M	341467	0	967	1100	709	2d 15h 17m 22s	5	20	42	10.38B		0	0.00	1.83s	$20.58M	Scatter	376.62s	502029	1.31T	10	311.98D		0		28.09M	468.02s	1470	293728	0	3245	13h 33m 26s	6088	415.49s	660	20.47K	0		3362	723.55Q	90.32K	7.92S	318712	322369	8.19D	0	11	9903	1655365	3296	9831	2260
2025-10-28	21:04:00		tournament	Oct 28, 2025 21:04	0	49150	26.61s	154	0	$309.09M	$244.93M	1.14K	237.51s	8.59B	0	269.29M		7.60B	232.41M	17.15M	432.79M	0		0	4.36B		0		0	0	7.70Q	753.54s	x8.00	748.92T	1.67q	6.82q	0	5.72s	1.70Q	4161	2778	46983	49	4237	0	47.09K	10342	0	543	479	601	7h 53m 5s	2	0	0	15.01M		0	0.00	13.46Q	$2.45M	Fast	81.77Q	23576	1.31T	0	462.56s		0		616.79K	15.22s	179	7474	0	41	1h 58m 16s	740	11.02s	0	3.20K	0		50	45.96Q	0	0	5416	10662	5.78s	0	11	131	79592	40	930	3
2025-10-28	17:39:00		farm	Oct 28, 2025 17:39	36	595518	45.86D	762	42	$48.30B	$31.98B	195.50K	418.37Q	11.89T	28.78B	203.14B		10.41T	614.26B	23.37B	579.25B	0		0	892.65B		0		4	27	0	389.02D	x8.00	10.53q	229.23q	202.14Q	1	0	762.15Q	0	42530	1399194	84760	105530	210163	1.40M	341281	0	811	862	680	2d 17h 36m 47s	5	3	24	11.76B		0	0.00	15.19s	$20.63M	Scatter	2.33S	500492	0	0	334.60D		0		27.93M	3.20S	1469	293191	1	3291	13h 19m 6s	6109	2.83S	560	20.48K	0		3321	3.11s	90.52K	0	319746	323051	8.57D	0	11	9936	1655704	3324	9865	2278
2025-10-28	05:13:00		farm	Oct 28, 2025 05:13	24	589589	29.95D	751	6	$13.12B	$8.11B	180.67K	0	11.66T	26.51B	198.14B		10.22T	598.71B	22.67B	564.33B	0		0	886.98B		0		4	21	0	253.31D	x8.00	12.15q	211.77q	187.01Q	2	0	2.72s	0	48969	1362361	86104	103412	172396	1.36M	335022	0	580	699	731	2d 16h 47m 53s	8	17	30	10.89B		0	0.00	31.50s	$20.39M	Scatter	2.27S	490379	0	10	217.72D		0		26.83M	3.26S	1473	288337	0	3089	13h 8m 45s	6078	2.87S	660	20.30K	0		3326	6.18s	89.45K	0	313576	316178	5.65D	0	11	9743	1631179	3328	9728	2231
2025-10-27	16:03:00		farm	Oct 27, 2025 16:03	33	549613	2.53D	703	30	$14.25B	$8.32B	164.12K	0	10.80T	26.84B	183.38B		9.46T	555.84B	21.08B	522.41B	0		0	893.59B		0		1	18	0	21.85D	x8.00	8.48q	98.56q	87.03Q	0	0	442.87Q	0	48855	1247156	76475	93558	156536	1.25M	304851	0	968	1100	707	2d 11h 55m 32s	4	1	24	10.17B		0	0.00	8.92s	$18.98M	Scatter	2.07S	447566	0	8	18.84D		0		24.45M	2.85S	1357	260601	0	2874	12h 5m 7s	5621	2.51S	640	18.59K	0		2980	2.13s	82.48K	0	289415	288021	482.54N	0	11	8727	1494954	2873	9081	2101
2025-10-27	03:37:00		farm	Oct 27, 2025 03:37	24	375131	20.66N	469	24	$5.87B	$3.40B	103.76K	0	6.94T	16.30B	103.35B		6.19T	305.38B	12.11B	295.35B	0		0	854.29B		0		0	24	0	172.67N	x8.00	7.70q	169.77q	149.62Q	0	0	250.07Q	0	5496	804377	44251	58177	0	804.75K	169505	0	614	839	663	1d 15h 2m 59s	6	19	24	5.60B		0	0.00	8.09s	$12.75M	Scatter	145.35s	276930	0	2	148.05N		0		17.87M	260.90s	912	143413	0	1604	8h 7m 33s	3830	230.12s	598	10.17K	0		1532	417.13Q	55.40K	0	178808	164813	3.96N	0	12	4679	901146	1543	6096	1406
2025-10-26	19:14:00		farm	Oct 26, 2025 19:14	39	593818	38.09D	757	48	$37.13B	$24.47B	184.32K	0	12.02T	26.86B	204.35B		10.53T	619.93B	23.54B	582.88B	0		0	923.76B		0		4	27	0	320.48D	x8.00	7.43q	226.54q	199.82Q	0	0	436.66Q	0	43270	1382756	83987	105174	0	1.38M	338620	0	602	619	711	2d 17h 17m 25s	9	8	33	11.39B		0	0.00	5.10s	$20.52M	Scatter	373.88s	496706	0	5	275.23D		0		27.72M	519.86s	1488	291275	2	3222	13h 0m 47s	6088	458.58s	680	17.50K	0		3326	1.18s	89.16K	18.11S	326253	319465	7.16D	0	11	9840	1645350	3292	9804	2256
2025-10-26	04:37:00		farm	Oct 26, 2025 04:37	27	576999	53.35D	747	15	$59.82B	$39.61B	189.59K	839.21M	11.64T	27.39B	196.07B		10.23T	573.04B	23.81B	559.28B	0		0	885.05B		0		2	27	0	324.45D	x8.00	9.57q	219.16q	193.49Q	1	0	369.75Q	0	46148	1235187	83546	118748	0	1.24M	328091	0	968	1168	710	2d 17h 6m 34s	8	12	9	12.32B		0	0.00	6.14s	$20.48M	Scatter	521.15s	481382	0	5	263.78D		0		30.55M	585.44s	1471	282823	0	3246	13h 9m 0s	6041	514.80s	540	20.17K	0		3290	894.35Q	89.00K	16.62S	352352	309456	7.32D	0	11	9833	1598776	3297	9805	2273
