header,kind,camelCase,mapsToV3Field
_Date,internal,_date,
_Notes,internal,_notes,
_Rank,internal,_rank,
_Run Type,internal,_runType,
_Time,internal,_time,
Ad Gems,gameOrCustom,adGems,
Amplify Bot,gameOrCustom,amplifyBot,
Armor Shards,gameOrCustom,armorShards,
Attack Chip,gameOrCustom,attackChip,
Basic,gameOrCustom,basic,
Battle Date,gameOrCustom,battleDate,
Black Hole,gameOrCustom,blackHole,
Black Hole Damage,gameOrCustom,blackHoleDamage,
Boss,gameOrCustom,boss,
Bounty Coins,gameOrCustom,bountyCoins,
Cannon Shards,gameOrCustom,cannonShards,
Cash Earned,gameOrCustom,cashEarned,
Cash From Golden Tower,gameOrCustom,cashFromGoldenTower,
Cells Earned,gameOrCustom,cellsEarned,
Cells Per Hour,gameOrCustom,cellsPerHour,
Chain Lightning,gameOrCustom,chainLightning,
Chain Lightning Damage,gameOrCustom,chainLightningDamage,
Chain Thunder,gameOrCustom,chainThunder,
Chrono Field,gameOrCustom,chronoField,
Coin Bonus Upgrade,gameOrCustom,coinBonusUpgrade,
Coins / Wave,gameOrCustom,coinsWave,
Coins Earned,gameOrCustom,coinsEarned,
Coins Fetched,gameOrCustom,coinsFetched,
Coins From Black Hole,gameOrCustom,coinsFromBlackHole,
Coins from Blackhole,gameOrCustom,coinsFromBlackhole,
Coins From Coin Bonuses,gameOrCustom,coinsFromCoinBonuses,
Coins from Coin Upgrade,gameOrCustom,coinsFromCoinUpgrade,
Coins From Death Wave,gameOrCustom,coinsFromDeathWave,
Coins From Golden Tower,gameOrCustom,coinsFromGoldenTower,
Coins From Orb,gameOrCustom,coinsFromOrb,
Coins from Orbs,gameOrCustom,coinsFromOrbs,
Coins From Spotlight,gameOrCustom,coinsFromSpotlight,
Coins Per Hour,gameOrCustom,coinsPerHour,
Coins Stolen,gameOrCustom,coinsStolen,
Commander,gameOrCustom,commander,
Commanders,gameOrCustom,commanders,
Common Modules,gameOrCustom,commonModules,
Core Shards,gameOrCustom,coreShards,
Critical Coin,gameOrCustom,criticalCoin,
Damage,gameOrCustom,damage,
Damage Dealt,gameOrCustom,damageDealt,
Damage Gain From Berserk,gameOrCustom,damageGainFromBerserk,
Damage Taken,gameOrCustom,damageTaken,
Damage Taken Wall,gameOrCustom,damageTakenWall,
Damage Taken While Berserked,gameOrCustom,damageTakenWhileBerserked,
Death Defy,gameOrCustom,deathDefy,
Death Penalty,gameOrCustom,deathPenalty,
Death Ray,gameOrCustom,deathRay,
Death Ray Damage,gameOrCustom,deathRayDamage,
Death Wave,gameOrCustom,deathWave,
Death Wave Damage,gameOrCustom,deathWaveDamage,
Defense %,gameOrCustom,defense,
Defense Absolute,gameOrCustom,defenseAbsolute,
Demon Mode,gameOrCustom,demonMode,
Destroyed by Death Ray,gameOrCustom,destroyedByDeathRay,
Destroyed by Land Mine,gameOrCustom,destroyedByLandMine,
Destroyed By Orbs,gameOrCustom,destroyedByOrbs,
Destroyed by Thorns,gameOrCustom,destroyedByThorns,
Destroyed in Golden Bot,gameOrCustom,destroyedInGoldenBot,
Destroyed in Spotlight,gameOrCustom,destroyedInSpotlight,
Electrons,gameOrCustom,electrons,
Electrons Damage,gameOrCustom,electronsDamage,
Enemies Hit by Orbs,gameOrCustom,enemiesHitByOrbs,
Enemy Attack Levels Skipped,gameOrCustom,enemyAttackLevelsSkipped,
Enemy Health Levels Skipped,gameOrCustom,enemyHealthLevelsSkipped,
Fast,gameOrCustom,fast,
Fetch Gems,gameOrCustom,fetchGems,
Flame Bot,gameOrCustom,flameBot,
Flame Bot Damage,gameOrCustom,flameBotDamage,
Free Attack Upgrade,gameOrCustom,freeAttackUpgrade,
Free Defense Upgrade,gameOrCustom,freeDefenseUpgrade,
Free Utility Upgrade,gameOrCustom,freeUtilityUpgrade,
From Death Wave,gameOrCustom,fromDeathWave,
Game Time,gameOrCustom,gameTime,
Gem Blocks Tapped,gameOrCustom,gemBlocksTapped,
Gems,gameOrCustom,gems,
Generator Shards,gameOrCustom,generatorShards,
Golden Bot,gameOrCustom,goldenBot,
Golden Bot Coins Earned,gameOrCustom,goldenBotCoinsEarned,
Golden Combo,gameOrCustom,goldenCombo,
Golden Tower,gameOrCustom,goldenTower,
Guardian catches,gameOrCustom,guardianCatches,
Guardian coins stolen,gameOrCustom,guardianCoinsStolen,
Highest Coins / Minute,gameOrCustom,highestCoinsMinute,
Hits Absorbed By Energy Shield,gameOrCustom,hitsAbsorbedByEnergyShield,
HP From Death Wave,gameOrCustom,hpFromDeathWave,
Inner Land Mine Damage,gameOrCustom,innerLandMineDamage,
Inner Land Mines,gameOrCustom,innerLandMines,
Interest earned,gameOrCustom,interestEarned,
Killed By,gameOrCustom,killedBy,
Land Mine Damage,gameOrCustom,landMineDamage,
Land Mines,gameOrCustom,landMines,
Land Mines Spawned,gameOrCustom,landMinesSpawned,
Largest Golden Combo,gameOrCustom,largestGoldenCombo,
Largest Inner Landmine Charge,gameOrCustom,largestInnerLandmineCharge,
Largest Smart Missile Stack,gameOrCustom,largestSmartMissileStack,
Largest Wave Skip,gameOrCustom,largestWaveSkip,
Lifesteal,gameOrCustom,lifesteal,
Medals,gameOrCustom,medals,
Most Cells From Wave Skip,gameOrCustom,mostCellsFromWaveSkip,
Most Coins From Golden Combo,gameOrCustom,mostCoinsFromGoldenCombo,
Most Coins From Wave Skip,gameOrCustom,mostCoinsFromWaveSkip,
Negative Mass Projector,gameOrCustom,negativeMassProjector,
Nuke,gameOrCustom,nuke,
Orb Damage,gameOrCustom,orbDamage,
Orb Hits,gameOrCustom,orbHits,
Orbital Augment,gameOrCustom,orbitalAugment,
Orbs,gameOrCustom,orbs,
Other,gameOrCustom,other,
Overcharge,gameOrCustom,overcharge,
Overcharges,gameOrCustom,overcharges,
Poison Swamp,gameOrCustom,poisonSwamp,
Primordial Collapse,gameOrCustom,primordialCollapse,
Projectiles,gameOrCustom,projectiles,
Projectiles Count,gameOrCustom,projectilesCount,
Projectiles Damage,gameOrCustom,projectilesDamage,
Protector,gameOrCustom,protector,
Ranged,gameOrCustom,ranged,
Rare Modules,gameOrCustom,rareModules,
Rays,gameOrCustom,rays,
Real Time,gameOrCustom,realTime,
Recovery Packages,gameOrCustom,recoveryPackages,
Rend Armor,gameOrCustom,rendArmor,
Rend Armor Damage,gameOrCustom,rendArmorDamage,
Reroll Shards,gameOrCustom,rerollShards,
Reroll Shards Earned,gameOrCustom,rerollShardsEarned,
Reroll Shards Fetched,gameOrCustom,rerollShardsFetched,
Saboteur,gameOrCustom,saboteur,
Saboteurs,gameOrCustom,saboteurs,
Scatters,gameOrCustom,scatters,
Second Wind,gameOrCustom,secondWind,
Smart Missile Damage,gameOrCustom,smartMissileDamage,
Smart Missiles,gameOrCustom,smartMissiles,
Spotlight,gameOrCustom,spotlight,
Summoned Enemies,gameOrCustom,summonedEnemies,
Swamp Damage,gameOrCustom,swampDamage,
Tagged by Death Wave,gameOrCustom,taggedByDeathWave,
Tagged by Deathwave,gameOrCustom,taggedByDeathwave,
Tank,gameOrCustom,tank,
Thorn damage,gameOrCustom,thornDamage,
Thorns,gameOrCustom,thorns,
Thunder Bot,gameOrCustom,thunderBot,
Thunder Bot Stuns,gameOrCustom,thunderBotStuns,
Tier,gameOrCustom,tier,
Total Elites,gameOrCustom,totalElites,
Total Enemies,gameOrCustom,totalEnemies,
Tower,gameOrCustom,tower,
Tower Health Regen,gameOrCustom,towerHealthRegen,
Vampires,gameOrCustom,vampires,
Wall,gameOrCustom,wall,
Wall Health Regen,gameOrCustom,wallHealthRegen,
Wave,gameOrCustom,wave,
Wave Skip,gameOrCustom,waveSkip,
Waves Skipped,gameOrCustom,wavesSkipped,
