section,label,sectionCamel,labelCamel,proposedV3FieldName,Dissonance_Attack_2026-04-09,Dissonance_Defense_2026-04-09,Dissonance_UltimateWeapons_2026-04-09,Dissonance_Utility_2026-04-10,Farming_2026-04-11,Tournament_2026-04-10,presenceCount
Battle Report,Battle Date,battleReport,battleDate,battleReportBattleDate,x,x,x,x,x,x,6
Battle Report,Cells Earned,battleReport,cellsEarned,battleReportCellsEarned,x,x,x,x,x,x,6
Battle Report,Cells Per Hour,battleReport,cellsPerHour,battleReportCellsPerHour,x,x,x,x,x,x,6
Battle Report,Coins Earned,battleReport,coinsEarned,battleReportCoinsEarned,x,x,x,x,x,x,6
Battle Report,Coins Per Hour,battleReport,coinsPerHour,battleReportCoinsPerHour,x,x,x,x,x,x,6
Battle Report,Game Time,battleReport,gameTime,battleReportGameTime,x,x,x,x,x,x,6
Battle Report,Killed By,battleReport,killedBy,battleReportKilledBy,x,x,x,x,x,x,6
Battle Report,Real Time,battleReport,realTime,battleReportRealTime,x,x,x,x,x,x,6
Battle Report,Tier,battleReport,tier,battleReportTier,x,x,x,x,x,x,6
Battle Report,Wave,battleReport,wave,battleReportWave,x,x,x,x,x,x,6
Bonus Health Gained,From Death Wave,bonusHealthGained,fromDeathWave,bonusHealthGainedFromDeathWave,x,x,x,x,x,x,6
Cash,Cash Earned,cash,cashEarned,cashCashEarned,x,x,x,x,x,x,6
Cash,Golden Tower,cash,goldenTower,cashGoldenTower,x,x,x,x,x,x,6
Cash,Interest earned,cash,interestEarned,cashInterestEarned,x,x,x,x,x,x,6
Coins,Black Hole,coins,blackHole,coinsBlackHole,x,x,x,x,x,x,6
Coins,Bounty Coins,coins,bountyCoins,coinsBountyCoins,x,x,x,x,x,x,6
Coins,Coin Bonus Upgrade,coins,coinBonusUpgrade,coinsCoinBonusUpgrade,x,x,x,x,x,x,6
Coins,Coins / Wave,coins,coinsWave,coinsCoinsWave,x,x,x,x,x,x,6
Coins,Coins Earned,coins,coinsEarned,coinsCoinsEarned,x,x,x,x,x,x,6
Coins,Coins Fetched,coins,coinsFetched,coinsCoinsFetched,x,x,x,x,x,x,6
Coins,Coins From Coin Bonuses,coins,coinsFromCoinBonuses,coinsCoinsFromCoinBonuses,x,x,x,x,x,x,6
Coins,Critical Coin,coins,criticalCoin,coinsCriticalCoin,x,x,x,x,x,x,6
Coins,Death Wave,coins,deathWave,coinsDeathWave,x,x,x,x,x,x,6
Coins,Golden Bot,coins,goldenBot,coinsGoldenBot,x,x,x,x,x,x,6
Coins,Golden Combo,coins,goldenCombo,coinsGoldenCombo,x,x,x,x,x,x,6
Coins,Golden Tower,coins,goldenTower,coinsGoldenTower,x,x,x,x,x,x,6
Coins,Orbs,coins,orbs,coinsOrbs,x,x,x,x,x,x,6
Coins,Spotlight,coins,spotlight,coinsSpotlight,x,x,x,x,x,x,6
Coins,Wave Skip,coins,waveSkip,coinsWaveSkip,x,x,x,x,x,x,6
Counts,Death Defy,counts,deathDefy,countsDeathDefy,x,x,x,x,x,x,6
Counts,Demon Mode,counts,demonMode,countsDemonMode,x,x,x,x,x,x,6
Counts,Hits Absorbed By Energy Shield,counts,hitsAbsorbedByEnergyShield,countsHitsAbsorbedByEnergyShield,x,x,x,x,x,x,6
Counts,Land Mines Spawned,counts,landMinesSpawned,countsLandMinesSpawned,x,x,x,x,x,x,6
Counts,Nuke,counts,nuke,countsNuke,x,x,x,x,x,x,6
Counts,Projectiles Count,counts,projectilesCount,countsProjectilesCount,x,x,x,x,x,x,6
Counts,Second Wind,counts,secondWind,countsSecondWind,x,x,x,x,x,x,6
Counts,Thunder Bot Stuns,counts,thunderBotStuns,countsThunderBotStuns,x,x,x,x,x,x,6
Counts,Waves Skipped,counts,wavesSkipped,countsWavesSkipped,x,x,x,x,x,x,6
Currencies,Ad Gems,currencies,adGems,currenciesAdGems,x,x,x,x,x,x,6
Currencies,Armor Shards,currencies,armorShards,currenciesArmorShards,x,x,x,x,x,x,6
Currencies,Cannon Shards,currencies,cannonShards,currenciesCannonShards,x,x,x,x,x,x,6
Currencies,Cells Earned,currencies,cellsEarned,currenciesCellsEarned,x,x,x,x,x,x,6
Currencies,Common Modules,currencies,commonModules,currenciesCommonModules,x,x,x,x,x,x,6
Currencies,Core Shards,currencies,coreShards,currenciesCoreShards,x,x,x,x,x,x,6
Currencies,Fetch Gems,currencies,fetchGems,currenciesFetchGems,x,x,x,x,x,x,6
Currencies,Gem Blocks Tapped,currencies,gemBlocksTapped,currenciesGemBlocksTapped,x,x,x,x,x,x,6
Currencies,Gems,currencies,gems,currenciesGems,x,x,x,x,x,x,6
Currencies,Generator Shards,currencies,generatorShards,currenciesGeneratorShards,x,x,x,x,x,x,6
Currencies,Medals,currencies,medals,currenciesMedals,x,x,x,x,x,x,6
Currencies,Rare Modules,currencies,rareModules,currenciesRareModules,x,x,x,x,x,x,6
Currencies,Reroll Shards Earned,currencies,rerollShardsEarned,currenciesRerollShardsEarned,x,x,x,x,x,x,6
Currencies,Reroll Shards Fetched,currencies,rerollShardsFetched,currenciesRerollShardsFetched,x,x,x,x,x,x,6
Damage,Attack Chip,damage,attackChip,damageAttackChip,x,x,x,x,x,x,6
Damage,Black Hole,damage,blackHole,damageBlackHole,x,x,x,x,x,x,6
Damage,Chain Lightning,damage,chainLightning,damageChainLightning,x,x,x,x,x,x,6
Damage,Damage Dealt,damage,damageDealt,damageDamageDealt,x,x,x,x,x,x,6
Damage,Death Ray,damage,deathRay,damageDeathRay,x,x,x,x,x,x,6
Damage,Death Wave,damage,deathWave,damageDeathWave,x,x,x,x,x,x,6
Damage,Electrons,damage,electrons,damageElectrons,x,x,x,x,x,x,6
Damage,Flame Bot,damage,flameBot,damageFlameBot,x,x,x,x,x,x,6
Damage,Inner Land Mines,damage,innerLandMines,damageInnerLandMines,x,x,x,x,x,x,6
Damage,Land Mines,damage,landMines,damageLandMines,x,x,x,x,x,x,6
Damage,Orbs,damage,orbs,damageOrbs,x,x,x,x,x,x,6
Damage,Poison Swamp,damage,poisonSwamp,damagePoisonSwamp,x,x,x,x,x,x,6
Damage,Projectiles,damage,projectiles,damageProjectiles,x,x,x,x,x,x,6
Damage,Rend Armor,damage,rendArmor,damageRendArmor,x,x,x,x,x,x,6
Damage,Smart Missiles,damage,smartMissiles,damageSmartMissiles,x,x,x,x,x,x,6
Damage,Thorns,damage,thorns,damageThorns,x,x,x,x,x,x,6
Damage Blocked,Chain Thunder,damageBlocked,chainThunder,damageBlockedChainThunder,x,x,x,x,x,x,6
Damage Blocked,Chrono Field,damageBlocked,chronoField,damageBlockedChronoField,x,x,x,x,x,x,6
Damage Blocked,Defense %,damageBlocked,defense,damageBlockedDefense,x,x,x,x,x,x,6
